text,label
"ðŸš¨ Elon Musk is giving away thousands of dollars in crypto! Just send your funds to this address and watch it double! ðŸš€",1
"ðŸŽ‰ Michael Saylor and MicroStrategy are offering free Bitcoin! Send them some Bitcoin, and they'll send you back double! ðŸ’°",1
"Don't miss out on this once-in-a-lifetime opportunity! Send $100 to this address and receive $200 back!",1
"Invest in our new cryptocurrency and get guaranteed returns! Just send us your funds to start!",1
"Join our exclusive investment group and receive free crypto! Just send a small fee to get started!",1
"ðŸš« This is a reminder to never send money to strangers online, especially for giveaways! Stay safe!",0
"Bitcoin is a great long-term investment. Consider buying and holding instead of falling for scams.",0
"Elon Musk has launched a new product! Check out the official website for more details.",0
"Michael Saylor discusses the future of Bitcoin in his latest interview. Watch it on YouTube!",0
"Investing in established companies is safer than speculative cryptocurrencies. Do your research!",0
"Beware of fake giveaways on social media! Always verify before sending any money.",1
"Real investment opportunities will never ask you to send money upfront. Be cautious!",0
"ðŸš¨ Scammers are impersonating celebrities to promote fake giveaways. Don't fall for it!",1
"Learn about cryptocurrency through reputable sources and avoid scams. Education is key!",0
"Get rich quick schemes are often scams. Always be skeptical of offers that seem too good to be true.",1